"country","corruptionScore","pop2021"
"New Zealand","88","4860.6430"
"Denmark","88","5813.2980"
"Finland","85","5548.3600"
"Singapore","85","5896.6860"
"Switzerland","85","8715.4940"
"Sweden","85","10160.1690"
"Norway","84","5465.6300"
"Netherlands","82","17173.0990"
"Luxembourg","80","634.8140"
"Germany","80","83900.4730"
"Hong Kong","77","7552.8100"
"Australia","77","25788.2150"
"Canada","77","38067.9030"
"United Kingdom","77","68207.1160"
"Austria","76","9043.0700"
"Belgium","76","11632.3260"
"Iceland","75","343.3530"
"Estonia","75","1325.1850"
"Japan","74","126050.8040"
"Ireland","72","4982.9070"
"Uruguay","71","3485.1510"
"United Arab Emirates","71","9991.0890"
"France","69","65426.1790"
"Bhutan","68","779.8980"
"Chile","67","19212.3610"
"United States","67","332915.0730"
"Seychelles","66","98.9080"
"Taiwan","65","23855.0100"
"Barbados","64","287.7110"
"Bahamas","63","396.9130"
"Qatar","63","2930.5280"
"Spain","62","46745.2160"
"Portugal","61","10167.9250"
"South Korea","61","51305.1860"
"Brunei","60","441.5320"
"Slovenia","60","2078.7240"
"Botswana","60","2397.2410"
"Lithuania","60","2689.8620"
"Israel","60","8789.7740"
"Saint Vincent and the Grenadines","59","111.2630"
"Cyprus","57","1215.5840"
"Latvia","57","1866.9420"
"Costa Rica","57","5139.0520"
"Saint Lucia","56","184.4000"
"Georgia","56","3979.7650"
"Poland","56","37797.0050"
"Dominica","55","72.1670"
"Oman","54","5223.3750"
"Rwanda","54","13276.5130"
"Grenada","53","113.0210"
"Malta","53","442.7840"
"Mauritius","53","1273.4330"
"Saudi Arabia","53","35340.6830"
"Italy","53","60367.4770"
"Namibia","51","2587.3440"
"Malaysia","51","32776.1940"
"Greece","50","10370.7440"
"Armenia","49","2968.1270"
"Slovakia","49","5460.7210"
"Jordan","49","10269.0210"
"Sao Tome and Principe","47","223.3680"
"Croatia","47","4081.6510"
"Belarus","47","9442.8620"
"Cuba","47","11317.5050"
"Montenegro","45","628.0530"
"Senegal","45","17196.3010"
"Jamaica","44","2973.4630"
"Bulgaria","44","6896.6630"
"Hungary","44","9634.1640"
"Tunisia","44","11935.7660"
"Romania","44","19127.7740"
"South Africa","44","60041.9940"
"Vanuatu","43","314.4640"
"Maldives","43","543.6170"
"Ghana","43","31732.1290"
"Solomon Islands","42","703.9960"
"Bahrain","42","1748.2960"
"Kuwait","42","4328.5500"
"Argentina","42","45605.8260"
"China","42","1444216.1070"
"Guyana","41","790.3260"
"Lesotho","41","2159.0790"
"Benin","41","12451.0400"
"Timor-Leste","40","1343.8730"
"Trinidad and Tobago","40","1403.3750"
"Burkina Faso","40","21497.0960"
"Morocco","40","37344.7950"
"Turkey","40","85042.7380"
"India","40","1393409.0380"
"Ecuador","39","17888.4750"
"Colombia","39","51265.8440"
"Suriname","38","591.8000"
"Serbia","38","8697.5500"
"Kazakhstan","38","18994.9620"
"Sri Lanka","38","21497.3100"
"Peru","38","33359.4180"
"Tanzania","38","61498.4370"
"Ethiopia","38","117876.2270"
"Brazil","38","213993.4370"
"Gambia","37","2486.9450"
"Indonesia","37","276361.7830"
"Albania","36","2872.9330"
"El Salvador","36","6518.4990"
"Ivory Coast","36","27053.6290"
"Algeria","36","44616.6240"
"Thailand","36","69950.8500"
"Vietnam","36","98168.8330"
"North Macedonia","35","2082.6580"
"Bosnia and Herzegovina","35","3263.4660"
"Mongolia","35","3329.2890"
"Panama","35","4381.5790"
"Moldova","34","4024.0190"
"Philippines","34","111046.9130"
"Eswatini","33","1172.3620"
"Sierra Leone","33","8141.3430"
"Zambia","33","18920.6510"
"Nepal","33","29674.9200"
"Ukraine","33","43466.8190"
"Egypt","33","104258.3270"
"Niger","32","25130.8170"
"Kyrgyzstan","31","6628.3560"
"Bolivia","31","11832.9400"
"Kenya","31","54985.6980"
"Mexico","31","130262.2160"
"Pakistan","31","225199.9370"
"Gabon","30","2278.8250"
"Azerbaijan","30","10223.3420"
"Malawi","30","19647.6840"
"Mali","30","20855.7350"
"Russia","30","145912.0250"
"Mauritania","29","4775.1190"
"Laos","29","7379.3580"
"Togo","29","8478.2500"
"Liberia","28","5180.2030"
"Paraguay","28","7219.6380"
"Dominican Republic","28","10953.7030"
"Guinea","28","13497.2440"
"Myanmar","28","54806.0120"
"Djibouti","27","1002.1870"
"Papua New Guinea","27","9119.0100"
"Angola","27","33933.6100"
"Uganda","27","47123.5310"
"Central African Republic","26","4919.9810"
"Uzbekistan","26","33935.7630"
"Bangladesh","26","166303.4980"
"Lebanon","25","6769.1460"
"Tajikistan","25","9749.6270"
"Guatemala","25","18249.8600"
"Cameroon","25","27224.2650"
"Madagascar","25","28427.3280"
"Mozambique","25","32163.0470"
"Iran","25","85028.7590"
"Nigeria","25","211400.7080"
"Honduras","24","10062.9910"
"Zimbabwe","24","15092.1710"
"Nicaragua","22","6702.3850"
"Comoros","21","888.4510"
"Eritrea","21","3601.4670"
"Chad","21","16914.9850"
"Cambodia","21","16946.4380"
"Iraq","21","41179.3500"
"Turkmenistan","19","6117.9240"
"Burundi","19","12255.4330"
"Afghanistan","19","39835.4280"
"Haiti","18","11541.6850"
"North Korea","18","25887.0410"
"DR Congo","18","92377.9930"
"Libya","17","6958.5320"
"Equatorial Guinea","16","1449.8960"
"Sudan","16","44909.3530"
"Venezuela","15","28704.9540"
"Yemen","15","30490.6400"
"Syria","14","18275.7020"
"South Sudan","12","11381.3780"
"Somalia","12","16359.5040"