"country","freeExpressionIndex","pop2021"
"United States","5.7300","332915.0730"
"Poland","5.6600","37797.0050"
"Spain","5.6200","46745.2160"
"Mexico","5.4200","130262.2160"
"Venezuela","5.1700","28704.9540"
"Canada","5.0800","38067.9030"
"Australia","4.9400","25788.2150"
"Argentina","4.8300","45605.8260"
"South Africa","4.8000","60041.9940"
"United Kingdom","4.7800","68207.1160"
"France","4.7200","65426.1790"
"Italy","4.6900","60367.4770"
"Peru","4.6300","33359.4180"
"Philippines","4.6000","111046.9130"
"Chile","4.5800","19212.3610"
"Brazil","4.4800","213993.4370"
"Tanzania","4.3800","61498.4370"
"Germany","4.3400","83900.4730"
"Kenya","4.0400","54985.6980"
"Israel","4.0200","8789.7740"
"South Korea","3.8300","51305.1860"
"Ghana","3.7300","31732.1290"
"India","3.6800","1393409.0380"
"Nigeria","3.5100","211400.7080"
"Uganda","3.4700","47123.5310"
"Indonesia","3.4600","276361.7830"
"Palestine","3.4200","5222.7480"
"Russia","3.3400","145912.0250"
"Turkey","3.2800","85042.7380"
"Japan","3.2700","126050.8040"
"Lebanon","3.1600","6769.1460"
"Vietnam","2.9600","98168.8330"
"Burkina Faso","2.9400","21497.0960"
"Ukraine","2.8500","43466.8190"
"Pakistan","2.7800","225199.9370"
"Jordan","2.5300","10269.0210"
"Senegal","2.0600","17196.3010"